task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
185	02/9c24f6	2030712	run_tasks:CREATE_PSMS (185)	COMPLETED	0	2025-05-08 03:48:25.262	33m 49s	33m 43s	59.9%	1.9 GB	2.1 GB	392.3 GB	7.4 GB
178	bf/cd73f2	2030696	run_tasks:CREATE_PSMS (178)	COMPLETED	0	2025-05-08 03:24:55.158	59m 25s	59m 22s	56.8%	693.5 MB	863.6 MB	705 GB	13.8 GB
172	16/fd94f2	2030686	run_tasks:CREATE_PSMS (172)	COMPLETED	0	2025-05-08 03:07:55.452	1h 20m 44s	1h 20m 39s	46.4%	3.7 GB	4.9 GB	1.5 TB	22.3 GB
192	dd/010154	2030721	run_tasks:CREATE_PSMS (192)	COMPLETED	0	2025-05-08 04:16:25.369	13m 4s	12m 56s	56.8%	638.1 MB	806.7 MB	160 GB	3.4 GB
193	98/3fcd8c	2030725	run_tasks:CREATE_PSMS (193)	COMPLETED	0	2025-05-08 04:17:25.275	13m 20s	13m 15s	44.4%	1.2 GB	1.3 GB	222.7 GB	3.6 GB
190	7f/55060a	2030720	run_tasks:CREATE_PSMS (190)	COMPLETED	0	2025-05-08 04:16:20.305	14m 55s	14m 49s	55.0%	663.3 MB	828.8 MB	177.1 GB	3.6 GB
191	a5/9af85f	2030717	run_tasks:CREATE_PSMS (191)	COMPLETED	0	2025-05-08 04:08:45.270	23m 10s	23m 3s	57.0%	1 GB	1.2 GB	269.9 GB	5.6 GB
194	e2/4e5810	2030726	run_tasks:CREATE_PSMS (194)	COMPLETED	0	2025-05-08 04:20:00.290	16m 20s	16m 15s	37.3%	1.1 GB	1.3 GB	213.7 GB	5.4 GB
189	27/1cc2d7	2030716	run_tasks:CREATE_PSMS (189)	COMPLETED	0	2025-05-08 03:59:50.340	36m 54s	36m 49s	58.1%	2 GB	2.1 GB	426.7 GB	8.7 GB
199	9c/c6e0ce	2030734	run_tasks:CREATE_PSMS (199)	COMPLETED	0	2025-05-08 04:31:15.391	10m 49s	10m 43s	38.5%	677.7 MB	846.5 MB	160 GB	3.9 GB
200	2e/2d1c25	2030733	run_tasks:CREATE_PSMS (200)	COMPLETED	0	2025-05-08 04:30:45.433	14m 4s	13m 56s	40.5%	991.3 MB	1.1 GB	213.7 GB	4.5 GB
196	8a/c219f6	2030730	run_tasks:CREATE_PSMS (196)	COMPLETED	0	2025-05-08 04:24:20.368	29m 29s	29m 23s	62.1%	2.3 GB	2.5 GB	341.2 GB	6.2 GB
198	95/6c3ade	2030732	run_tasks:CREATE_PSMS (198)	COMPLETED	0	2025-05-08 04:29:30.347	30m 35s	30m 30s	56.9%	2.5 GB	2.7 GB	808.3 GB	6.6 GB
197	2b/c0e615	2030731	run_tasks:CREATE_PSMS (197)	COMPLETED	0	2025-05-08 04:28:40.444	34m 19s	34m 15s	63.1%	1.8 GB	2 GB	435.7 GB	8.8 GB
171	68/399e70	2030685	run_tasks:CREATE_PSMS (171)	COMPLETED	0	2025-05-08 03:04:45.121	2h 5m	2h 4m 51s	46.8%	3.1 GB	3.3 GB	2.8 TB	36.3 GB
195	dd/970982	2030729	run_tasks:CREATE_PSMS (195)	COMPLETED	0	2025-05-08 04:22:15.356	1h 4m 10s	1h 4m 4s	66.0%	3.5 GB	3.7 GB	862.6 GB	15.1 GB
201	51/86bd30	2030747	run_tasks:COLLECT_SUCCESSFUL_TASKS	COMPLETED	0	2025-05-08 05:26:25.753	4.2s	26ms	13.5%	0	0	76.7 KB	5.5 KB
